rank,dataset,model_name,ranking_metric,runs,seed_min,seed_max,recall_mean,recall_std,precision_mean,precision_std,f1_score_mean,f1_score_std,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std
1,IEEE-CIS,MLP,pr_auc_mean,10,42,51,0.37094441934026207,0.026303342385566114,0.5481626220877068,0.04957966572123201,0.4406854152334905,0.018336651062720605,0.4248846279291471,0.04201837714044295,0.8585758576617266,0.007686834544399396
2,IEEE-CIS,LSTM,pr_auc_mean,10,42,51,0.4005874378671487,0.018003637259665844,0.46823530405155883,0.026143426893327607,0.4309849836911643,0.009465673182704575,0.4150954593696519,0.008814827197261305,0.8558044541097203,0.006826402133786415
3,IEEE-CIS,Transformer,pr_auc_mean,10,42,51,0.4075915047446904,0.024801509218560346,0.4911451602919805,0.045747164458382734,0.44326723721623446,0.008819846189529834,0.4103675313300704,0.015167552596215442,0.8485253420102673,0.007738680747115281
4,IEEE-CIS,GraphSAGE-email_domain,pr_auc_mean,10,42,51,0.40985088115680074,0.032537112282329715,0.40123101721357257,0.0440420967879042,0.40246952585403317,0.009956686069169855,0.3911952016550474,0.014192306504452615,0.8641297479965937,0.0027349546247554812
5,IEEE-CIS,GraphSAGE-address,pr_auc_mean,10,42,51,0.4175327609579756,0.037100890081145886,0.3750159282742166,0.04736438462219638,0.39166210969583903,0.01462772265592399,0.36650659453906564,0.05717640993823399,0.8631525848898252,0.003989405687773604
6,IEEE-CIS,GraphSAGE-main,pr_auc_mean,10,42,51,0.39724356077722545,0.01717053401664446,0.3647522143955111,0.03782499549710916,0.3788134066986656,0.01901268035020152,0.34317414723930734,0.053410344633748,0.8584549573133635,0.005295906725407858
7,IEEE-CIS,GraphSAGE-identifier_time_window-24h,pr_auc_mean,10,42,51,0.38147311342069584,0.02538986913847858,0.40219086078601285,0.032387722670481,0.3899944695121121,0.012493813801510144,0.3284371080160586,0.049085824733042925,0.8592864214271991,0.0024905290019676877
8,IEEE-CIS,GCN-identifier_time_window-24h,pr_auc_mean,10,42,51,0.38838680524175323,0.04178767421800985,0.35535883117069,0.11024954712300397,0.35734871633321197,0.06338689817473879,0.325611969942026,0.10606600898004788,0.8507815846063587,0.02373476182478709
9,IEEE-CIS,GraphSAGE-card,pr_auc_mean,10,42,51,0.39507455942159964,0.010193769555110314,0.35116240917027997,0.03872273113494779,0.3705649152018563,0.02291363148383859,0.3174243255867049,0.054733936914597194,0.8597705832824207,0.005612010585673136
10,IEEE-CIS,GCN-main,pr_auc_mean,10,42,51,0.36452779032986893,0.028992924433076234,0.34546886558234646,0.09099873959048421,0.3470181738571276,0.0569265503817606,0.2938947783427996,0.08992821784159781,0.8430598050946102,0.02449672317268128
11,IEEE-CIS,GCN-address,pr_auc_mean,10,42,51,0.4033438770899232,0.03939541675433794,0.29746795405194765,0.08312593499436677,0.33284779898453903,0.056404380792649596,0.27770191829401314,0.10409262211820611,0.8479441197038857,0.026154668650599074
12,IEEE-CIS,GCN-card,pr_auc_mean,10,42,51,0.3640759150474469,0.02434918823503241,0.3345354135615951,0.11643941783302154,0.33601656636211513,0.07179364580474737,0.274623860761751,0.10832758276865326,0.8377283640233056,0.028884465147749307
13,IEEE-CIS,GCN-email_domain,pr_auc_mean,10,42,51,0.3996836873023045,0.03857076052707141,0.288734724831115,0.08705509199651945,0.32431806650633443,0.05793049101508201,0.2624464625471,0.10415207057139661,0.8414444231044982,0.027290114516835
14,IEEE-CIS,GAT-main,pr_auc_mean,10,42,51,0.33059195661997287,0.07565225388774555,0.27977409119785646,0.08314672109206236,0.2963929771076235,0.06396642057354607,0.247969206311674,0.10015813531294991,0.8186530771302796,0.06125256067357278
15,IEEE-CIS,GAT-identifier_time_window-24h,pr_auc_mean,10,42,51,0.32959783099864437,0.08406073291882192,0.27650931490450714,0.07403387337021357,0.29419609614277537,0.06345221669750654,0.23423169771216323,0.09262825527406579,0.8138359638745583,0.09064754286989081
16,IEEE-CIS,GAT-card,pr_auc_mean,10,42,51,0.30962494351558967,0.09842166842022637,0.27353802572213237,0.10682007223537447,0.2744922915853248,0.06883679062197892,0.2176449356945381,0.09926531973747922,0.802653556329067,0.08164468352105661
17,IEEE-CIS,GAT-address,pr_auc_mean,10,42,51,0.30460912788070493,0.06349967033613367,0.2498268682953863,0.051643829349652184,0.272707684928966,0.05138548584918861,0.20318365136596137,0.08374761381324727,0.81922030299708,0.05820243459016236
18,IEEE-CIS,GAT-email_domain,pr_auc_mean,10,42,51,0.32507907817442383,0.08570136353820762,0.2208060936457747,0.039977640773304006,0.25775941590306484,0.04013566399215766,0.17114907354265985,0.05516890819798083,0.8127113341340861,0.05750293673623537
19,IEEE-CIS,GraphSAGE-sampled_complement,pr_auc_mean,1,42,42,0.315860822413014,,0.2212025316455696,,0.2601898380792853,,0.1423830706749909,,0.7999120957451866,
20,IEEE-CIS,GCN-sampled_complement,pr_auc_mean,1,42,42,0.3691821057388161,,0.1338028169014084,,0.1964178386825339,,0.1026994179213157,,0.7096845838026405,
21,IEEE-CIS,GAT-sampled_complement,pr_auc_mean,1,42,42,0.998644374152734,,0.037459531840602,,0.0722104231334749,,0.0407326555871807,,0.5054607698106959,
