source_node,target_node
20064,20052
518921,519047
382733,381968
105872,105881
358670,358538
199797,199816
74452,74319
49446,49737
39407,39966
410250,409290
37781,37360
35117,35021
33804,33363
341777,340401
24615,25223
349097,348688
198691,198673
165076,165065
558091,558665
36083,36305
465674,466038
492053,491060
32403,35564
28268,28278
532673,532597
79061,81094
149421,149395
352049,351844
46430,45899
435861,438237
20973,20923
24546,25739
148964,148927
39022,38933
35541,46989
29351,29329
488187,488513
30954,34432
40740,40347
76456,74639
49060,49041
416359,449713
142209,145458
525993,527474
25765,24436
25956,25953
540451,50335
454876,454764
445124,446218
41204,41161
525939,525962
234349,234020
149390,149385
20917,20920
127801,1055
16880,16909
435701,435861
371977,371980
378537,378556
529941,530854
439957,439916
42480,17761
312839,350949
20316,20407
434949,434950
283884,284067
21814,21781
46338,46360
431033,431000
33441,33445
364924,364424
55126,55122
443544,444108
260787,261433
212427,211703
311248,331038
239482,228377
381708,379275
27949,27841
76456,93082
370039,370162
585392,584739
50182,46879
355469,354300
2937,2986
49960,49984
38176,38373
75380,75832
42451,41209
435853,433757
159121,158787
211239,192441
263405,262959
118728,118646
394585,409860
44385,44382
493485,491581
74483,74503
421688,429729
277647,263191
568390,570981
30137,29554
258745,258740
494255,493485
509804,528061
252222,250999
46462,46372
552512,554596
27316,29254
19333,18408
38022,38027
25868,27142
272171,272120
24756,24757
174130,48493
33651,34436
400250,400200
439957,440050
112424,112376
464921,464864
22935,21646
220832,220713
370543,370166
396219,396943
253576,253304
289558,290425
309802,304139
281427,281438
37858,37811
468327,468456
137052,136194
21473,40052
32017,32319
498697,498541
50020,49984
24594,24550
397875,397856
32140,32160
35388,35459
32038,32378
122558,122542
341777,343234
578053,577970
428468,346834
71596,71610
532483,527951
90707,90464
49778,49818
289297,289458
435861,435701
31060,399317
524730,524737
31086,30884
32273,31908
122375,122542
18847,18878
376909,49673
42022,42105
16675,16772
368813,368647
29957,29986
123626,126210
44300,46071
27928,27929
522397,522390
407426,407408
343430,342839
42718,42747
372310,372357
386053,385966
282924,301784
50146,50042
406864,406658
539561,539714
17730,20959
445124,444850
41247,41183
166895,166223
116040,115387
46754,46735
29722,32455
249846,247332
21627,19190
47857,47765
382632,382897
18495,17500
72028,72943
473930,474375
357562,358330
466409,466300
536428,536523
287606,287638
152406,152420
490453,491437
285259,287221
375021,413250
577295,487120
31700,31699
522555,522575
386874,386724
473387,473574
18530,19857
121395,120962
49984,50020
27999,28051
567845,567972
101113,101065
555027,555350
215075,215066
19735,19703
27823,27825
130325,130864
447263,446563
65682,66676
555976,555270
47656,49064
50799,260665
349277,349226
465526,465579
403857,403929
137219,137205
453460,453501
333729,332487
427745,427735
8922,8673
417544,415916
406966,407032
378834,378885
403998,404053
430122,430246
30557,30529
324127,324114
26735,26672
396317,400190
374882,526182
152156,152487
363242,370239
439916,439957
22680,86363
386396,386210
519913,520237
39144,39274
90155,90098
39419,39213
466558,310890
143183,142107
32794,33676
415275,415274
389288,393745
579773,581038
560703,560724
197638,197825
70185,70436
147,1920
17689,16716
45513,45501
42454,42404
212881,213672
340657,340519
127886,126670
96901,93050
88756,88558
69390,69414
463021,463017
22165,22238
371780,371750
47153,47409
49250,47126
50294,50316
29722,29677
7107,7541
28092,28120
82535,82781
33676,37568
23104,23096
536826,536824
494808,493999
13572,14065
144887,144875
23616,22490
171701,173272
46380,46375
30355,30529
307271,307269
238690,237652
46049,46541
28942,28933
21074,21043
153224,153243
34461,34347
588410,588412
480245,480742
18047,18423
31090,27191
121306,520829
33457,33444
113066,113908
49607,49507
19839,20015
456816,459584
362268,362260
154137,154378
218031,217953
419484,421189
117337,117039
35747,35727
473387,471964
282766,282861
302016,314891
73488,73125
417620,417442
158016,150340
368496,368511
33408,33444
227611,226917
83022,83434
55592,50375
481253,499406
23138,23215
315847,299273
26078,26132
209700,209780
400192,400193
163379,162071
360912,500246
411368,414136
24667,22956
45619,45802
3048,3259
307769,307788
457044,434982
389298,389319
476254,476473
350296,350224
479488,480362
554942,554837
26931,26758
143171,145506
28992,28538
28942,28946
20907,20879
411276,411514
560574,560569
370543,381885
567879,568053
48493,174130
127708,131578
397786,397856
427180,427107
529737,529816
116697,117473
527736,527821
24182,24311
571104,571102
260535,260499
362268,362273
86768,88558
492993,493281
199144,198820
135065,221667
48436,48440
545302,546128
45266,45246
537375,537365
438163,453608
120866,117560
26032,26029
470908,470852
17262,17513
102499,101604
451503,470210
504992,505167
158229,148367
370254,370239
91982,52810
364457,364588
20116,20134
569731,569736
28045,27445
372972,373457
32524,39910
575288,574853
402559,440057
534390,527104
514008,518640
199135,184461
480241,480245
44368,44338
41472,41464
46639,41498
28269,28277
260715,260564
22221,22078
220125,220101
394100,394206
112590,112598
34799,34193
286541,286834
393351,394576
89709,87108
583302,584150
364456,364457
588477,588963
439339,439143
24594,24618
437378,453516
21732,21806
36602,36617
268119,270390
31986,31990
39693,39703
244527,245333
17555,17226
370997,370939
58658,52575
41602,41880
26386,26395
132110,131475
41407,41375
306859,307943
368794,358903
26583,26680
41606,38323
133998,132546
22422,22862
438383,450712
371058,371336
460487,460709
33430,33434
430985,440004
42884,42848
42765,44846
471279,471508
55634,56201
19969,19925
340398,340401
92457,92019
397109,396943
88756,89418
130526,132895
16414,17149
24956,26939
21032,21142
212898,212900
493952,493999
121567,121245
301039,301234
434201,435356
25145,25148
22452,22337
422996,422146
14006,14507
226492,226911
45525,45553
323474,462006
41244,42377
440536,440538
88138,127168
25504,25431
232929,233336
23632,23358
33459,33475
381585,381692
416835,416743
23802,23769
118646,118728
434189,434191
392484,392092
24734,24732
37669,37673
463580,463467
527773,526372
37303,36798
46561,46529
47003,47628
503568,503007
550849,554730
113321,113301
349260,346725
481843,481931
17480,27803
401034,400955
28959,28915
26277,23324
46967,46924
27630,27727
39159,39085
31014,30392
339337,338977
27319,27313
43237,42804
345388,374723
24757,24756
32619,33326
337044,337039
425660,425666
254658,254655
300848,300861
35442,35429
35805,35252
225390,224732
343234,346327
97171,98298
25223,25431
170853,170601
49342,379914
27270,27313
516711,517940
457078,457074
49937,49841
29311,29380
378581,379446
114080,114120
33851,33948
416079,415137
539561,539098
188350,189037
301784,306854
36782,37045
551368,551595
72268,56582
25518,25500
30767,30528
33946,33956
37986,37972
23523,24717
364868,335622
378553,378566
28051,27999
545642,545861
69363,69349
389185,389147
383063,382733
90098,89753
471252,471256
39226,39273
26030,26025
227782,224868
332962,239512
260538,307269
451350,451351
353183,353185
23432,23259
21211,20995
100782,97195
107139,107155
64675,65004
83723,83307
19703,17149
578662,575997
20026,20017
443043,491305
362083,362390
218112,217559
33373,33397
8283,7949
74503,75036
28380,19435
479202,483766
42271,42327
44184,44209
104389,104520
494610,495220
39297,39274
37936,42823
403941,403950
23838,23802
31454,28704
91728,93767
33806,31185
32455,33473
27374,27504
106009,106005
241988,220050
33700,33684
32783,32255
513184,510607
389,982
22422,20447
21842,21858
26011,26025
532689,532798
422987,442007
49381,51154
80226,79812
28475,28195
467233,467312
47670,47686
537441,545358
139295,140047
320068,320142
345958,346168
98538,98461
396317,396312
528016,528051
96413,96888
551595,551368
264215,264119
248911,323618
16819,16769
33415,33407
93917,94133
22711,22428
581537,581915
170354,106820
144339,144333
525973,526032
473832,468073
21039,21103
379665,379486
368683,370512
228619,228616
238178,239507
48467,48905
50430,50379
473538,472965
455349,456372
265349,265667
52575,50581
29926,29615
348877,350315
49978,49989
128873,127892
570821,570818
475837,481972
419112,419641
563816,563074
48449,48447
179731,193669
543240,542959
9421,8922
105571,103577
42884,42890
216602,217598
292524,290192
111947,110975
467233,466736
41365,41312
30087,30098
18382,18780
379814,380080
24670,24668
18129,49596
431008,431025
370503,370230
352911,350887
21071,21068
373525,373445
5145,5164
434419,260665
413842,413749
388032,359571
45223,45186
101223,106820
256428,256473
292111,292803
452876,452530
517542,517116
239567,221107
46418,46293
24588,25430
283351,283285
391198,391060
217648,217656
16960,16963
480899,480892
32483,36311
43317,42906
492406,489687
24315,24224
215622,214298
47784,47898
38125,39055
21842,21416
41650,41659
46338,46162
152933,244907
325205,325076
72467,72470
358170,346524
21621,20959
161310,162271
461528,461562
35584,35591
42029,41426
48274,48176
23788,23660
454742,369195
30916,29525
29326,29316
520098,517683
104520,104389
342638,348186
46759,44879
23109,23079
23656,23706
45649,45270
250431,250710
5325,5229
517463,516570
206988,207255
277718,277341
43100,43443
214298,214100
528437,528578
415338,412700
480746,480892
451351,451911
44314,44304
72614,71032
574657,574663
340337,340422
37323,37212
21090,20397
503419,501397
32159,31999
321935,322001
29908,29304
85750,85397
44338,44368
22413,22679
383881,394024
47515,49184
502902,502864
32017,28388
358311,358554
179148,178354
394257,394291
21077,21074
29184,29209
48794,57344
43896,42451
542078,542260
351583,352101
309212,309158
375723,373765
119473,119477
468788,468791
329059,329100
488998,489014
50352,50138
39769,39715
306854,306862
299369,393277
371200,371995
449128,447894
407158,407032
83434,88615
67652,66340
519357,519913
97810,98461
397765,398833
64926,64843
289198,289197
44868,43937
36019,35128
492622,502133
30651,30637
315753,315613
23681,23668
72216,72204
508677,508473
265720,265639
366092,366273
323451,324489
35426,29366
467312,467233
161008,160468
23991,23830
407396,405813
394576,394579
325052,324298
281506,282179
24754,24755
28412,28477
577970,577774
386370,386401
26727,26688
46967,47113
45802,45619
401004,396017
569468,570012
50201,50211
583927,583828
377627,379516
339337,339395
509997,509733
364457,364456
418238,418540
45186,44074
415666,278849
47031,46990
434888,434889
74319,74452
402891,402986
28464,28236
366763,311100
165763,165755
22848,22889
426241,426251
168729,167678
261178,260715
391855,389319
511894,512206
551701,549779
93362,87429
336308,336032
38001,38025
52625,51154
547273,545846
307943,306859
260555,260443
22665,22660
497901,497375
112815,112813
39883,41496
100865,93356
44334,44329
193670,193676
409071,409233
537804,539086
516101,513568
29418,30045
74483,74452
124092,124098
457074,447291
212900,225956
240227,232967
424537,424600
176766,178090
44846,44891
24147,24211
260555,260564
33389,33409
395903,396205
308775,309762
238178,237347
49976,49998
27384,27351
34171,32169
359787,359239
332999,333783
486863,486641
53908,53929
34033,32464
29917,27406
179731,179724
179436,179547
399999,399978
394904,394865
78145,78414
49837,49516
566030,557540
335643,335591
252548,252222
182711,182713
142327,142621
448756,453996
41853,41185
270316,269990
31332,31411
188350,188192
568074,567489
32264,32374
239482,244904
332487,333729
465674,465666
519180,519545
28421,28377
402351,402617
273406,273605
291688,20065
698,694
393256,392126
366650,366647
328028,328039
48208,48039
400229,400332
376305,375031
461562,463467
249614,250180
123599,123626
362260,362252
69386,69390
112385,100302
400800,400535
235911,231688
103535,102410
61547,61420
405622,109242
312425,313727
23424,20015
109719,109638
469451,470103
48522,49030
47371,47434
47613,49411
64011,64115
24897,24779
303554,304112
22400,24832
275919,275788
42703,42802
467864,468327
308769,308775
44182,44163
379914,49342
67844,67020
389288,388191
421688,387007
43065,43154
300262,301423
19327,19292
376334,376728
42304,405476
191645,191929
326895,326510
37235,36094
22165,22161
39067,38317
255258,255979
281707,281740
33253,33251
283355,283351
31099,31014
49747,49841
222244,224732
100035,100041
26468,26264
414191,418135
159640,157169
549489,549458
499500,498130
405872,405879
88541,88943
126683,126685
23751,22372
20676,20728
298815,298903
140768,142209
425660,425655
519651,520661
472825,472965
38447,38464
35584,35538
49516,49837
50104,50236
8635,8673
55126,56039
366218,365259
499500,500237
398035,393259
387963,388973
32291,31419
47600,47620
490129,500428
137205,137219
65061,65231
252468,252080
212251,212165
407558,409071
50138,50005
84954,85252
371200,371111
47201,44353
425783,423631
570981,568390
43746,43730
8283,8635
370616,370831
261433,261680
544574,544023
43317,43324
42327,42356
36969,39785
24757,24758
473494,471905
93050,87529
524501,523253
315223,338363
16996,16967
39882,39795
45742,42533
532086,400266
328846,330444
507513,507030
219166,218043
34231,34235
470864,471779
540964,541698
418640,418289
144643,125647
479487,478784
360912,360905
305348,305251
22944,22935
387765,389459
29891,29957
182420,182630
142327,141024
401004,423951
24147,24132
20986,20987
44290,44365
360900,360787
408948,408976
112602,111350
27504,27374
48052,48144
261557,259248
28548,28578
400955,399859
32228,32251
20960,20971
32307,32315
220101,219610
57345,57344
70374,70378
196831,344771
166037,167160
35117,35388
182297,181863
43570,43931
33810,33804
23369,23205
39289,39294
352538,352483
49446,49057
45697,45513
45530,47322
39489,39325
64636,63846
447655,448274
389354,389308
523047,523066
433068,432997
281998,281770
50379,50430
461365,537062
26132,26196
39882,40976
270833,274109
544306,544608
429671,429575
31411,31332
422057,422504
28269,28200
41379,42162
324205,324201
352101,351583
29060,27009
63551,55592
458536,458512
511126,511342
164991,164957
140047,141024
529067,528358
22621,22645
23703,23616
430389,443037
457344,460039
172813,171159
539802,539818
486463,486641
36864,36311
427054,427469
304119,304135
126670,127886
85472,148896
255979,256394
360900,361150
295225,293634
60222,60154
364198,349482
116343,212895
435918,435997
349127,349139
133793,132360
106005,106009
27029,26949
346524,50334
419641,419112
378285,376901
342409,342391
416743,416835
433812,433922
389459,387765
254694,254690
375870,375791
49261,33196
337657,337122
157169,159640
528756,526752
96425,94133
24682,24667
49825,49224
45335,38586
481806,481730
34676,34732
32613,36289
33561,33584
430122,429874
270929,269750
570012,570193
375358,371829
82891,93843
45071,45306
78414,78980
306757,306434
31852,32111
136250,136863
534879,534909
432913,444453
22008,22027
561214,561093
35636,35649
171044,171045
22601,22541
391686,391806
291236,291518
332337,332685
533671,533489
27109,27076
222769,222380
23487,23536
192168,191904
421273,421896
376180,376195
24919,24593
457654,456807
428402,428400
287221,288168
470103,471252
443626,441494
27009,29060
385666,385561
67652,69349
554942,555270
132895,130526
475248,479606
548569,548520
28092,27977
43148,43207
29582,29002
38127,38043
451869,450429
43445,43430
64843,63653
44324,44338
566030,571729
359571,388032
233494,233310
58729,59049
558809,558991
36087,36056
438238,438229
81019,80348
130597,130681
26858,21135
50201,49837
26389,27258
16577,16675
480902,480899
29750,47955
20971,20960
577468,569053
571816,571219
388454,388730
39189,38742
31808,32468
29366,35426
386296,384802
45907,45941
159121,159288
86469,88291
46791,46927
367595,367509
381896,381934
38522,38464
347157,346870
481474,481475
20043,20052
42105,42241
342134,340842
30787,31332
395435,393269
527364,527951
272011,273945
28356,28292
391147,389905
468788,468780
451130,500842
23612,23702
358170,358311
546268,546246
273326,273168
488187,487283
26498,23838
492598,493952
108543,105700
24507,24517
27272,24693
464013,464022
77162,78230
403494,403292
429729,421688
400079,398833
406306,426174
387741,387639
112590,109877
529816,529737
27960,27955
507000,505167
192883,193417
252478,448797
438641,438595
589303,266948
378588,378604
242314,242239
150107,148964
73125,72943
135052,135797
105377,100871
112376,110298
33193,33389
24150,23354
20640,20284
37990,24064
342839,342822
141808,124528
361601,360768
333548,332685
91274,91305
472965,473538
388058,388339
483766,479202
37594,37569
16717,16560
127892,127886
137458,137733
402735,405266
33959,491609
28270,28238
369195,454742
409801,409728
28956,28980
256473,257604
457052,457344
21740,21770
61547,62790
38883,38806
28288,28292
2145,2574
351537,351583
46333,46183
289198,289199
359549,358929
483824,483758
474673,474678
24671,24638
333729,334130
510022,509671
47827,47852
509390,508677
27060,24005
324687,324697
458438,458433
567652,567651
44080,44088
363891,363926
548831,547324
39489,40198
318557,319102
105250,105273
27497,27389
17757,18180
21781,21663
560574,566747
41737,41804
406464,407003
41102,41293
356103,355278
404153,404294
101199,101098
20488,20923
129830,78419
402891,402867
581038,581373
69349,69363
468873,468850
216023,216003
42483,42533
393544,393552
43443,43100
43570,42121
32380,33006
249993,248755
410543,410580
22531,22541
21044,20996
73249,74015
29579,29615
20782,20767
100871,100865
17561,17571
174281,174924
385739,385903
374882,225956
228390,229776
517972,517549
496741,497274
480214,480241
21336,21326
250472,250860
35599,35459
115251,148508
448274,449101
29783,29795
91642,91313
365485,365021
502168,500093
271597,271419
586915,585074
567972,568019
537491,534390
27559,27462
93729,93725
51785,405951
35001,34951
405622,405623
474507,476442
20710,20719
382897,382632
370230,370179
25581,25572
589521,588990
311698,311280
433024,433372
186402,186399
61038,59869
138076,137219
126,147
44382,44385
366958,366910
31851,31793
272191,272171
127158,127708
33936,33930
27224,25765
544306,543750
394977,395345
434201,434058
246787,244052
101786,101793
569651,588406
543414,543317
258735,258740
452530,452876
517940,516711
125427,124298
46468,38466
24132,24147
442745,444153
589832,589683
36707,36782
28471,28496
549596,549489
87102,87108
23842,23819
45078,44209
421934,419711
247216,235948
24779,24897
395345,395404
367232,367270
557674,558091
453501,453723
406313,406429
488513,489885
164044,158748
402522,402622
491060,492053
36210,36097
261203,262722
26981,27067
547088,547104
189549,189807
101041,100484
104005,104024
48006,47947
23487,23483
227089,226663
38522,47029
294885,296239
250131,250004
344641,345612
528437,528393
560087,560188
321204,317689
22601,22609
382514,381917
367509,367376
47164,47079
469101,468945
21804,21770
34107,34175
249042,241860
32505,32451
242839,246138
27687,28104
411773,412700
44353,47201
340074,338322
338656,332972
47824,47768
51155,51324
32585,32565
