source_node,target_node
193600,202677
569039,569065
405483,410156
378476,422011
15848,13595
36859,31386
523340,523325
149575,157554
227615,230513
30594,30622
583194,583372
135224,130476
255318,256268
468116,467510
3887,9935
330216,324109
53842,53839
143217,176978
461132,461397
433590,433493
78899,78844
442516,442485
358866,341861
79088,75333
455476,457900
231374,231254
295086,295081
153461,153906
306381,306235
389507,384982
172316,172080
55277,56325
551701,484728
438379,432120
478401,482184
272059,286735
169480,171206
269315,272618
213533,208174
497541,497309
437783,424892
202628,203621
106815,105619
94460,92233
536356,540927
364815,365178
335704,335727
327670,309603
327397,326972
360226,360196
20952,22971
12988,592
87855,86116
395215,398818
373060,374186
429243,428394
94260,94804
88446,89967
36399,31909
563054,564130
386278,383251
189733,189705
405792,401061
235827,235974
556079,560015
105797,99075
543390,585222
376322,386953
243589,244606
207161,207139
365298,387404
140579,140602
82555,82439
97838,97419
509884,497075
504092,508801
499734,499780
382387,379708
395707,399630
537469,537104
318594,322897
421170,421159
160155,152093
248236,245809
522770,490095
366134,365395
304394,305814
318604,392259
257106,257121
327896,327450
121632,80953
187945,186892
456174,456679
203844,199926
389495,369830
114135,113128
319806,293066
194847,196386
448118,445291
39299,62380
75590,80136
576892,576636
470630,562778
108398,106067
12156,21915
526271,526263
381993,382413
62186,113699
81100,79277
545729,546393
416577,438285
421376,421385
141831,148265
319510,292923
254018,137929
45427,65283
190172,182181
587034,584586
303301,304546
285922,286250
88254,82576
275096,287440
8014,50052
498556,498589
375437,375434
83420,83425
178968,209991
100637,100639
217754,108383
240315,245734
520624,528140
217772,204024
239253,95935
188054,209816
243336,243355
233087,234003
42639,44828
555585,554888
213285,213282
53251,52542
478878,483007
440378,495801
27382,136684
104893,102186
432801,433709
181617,181618
38409,38436
505910,424607
156005,155802
226206,225736
478278,478289
388686,396994
452852,452855
92029,90616
192979,193213
19439,20497
552017,534093
157200,265217
363938,359912
197500,197502
486718,467614
371443,371362
222367,222383
487205,487102
120319,230599
87824,79558
475197,484377
539630,538138
217840,218279
499685,498682
424633,401327
64697,127971
16855,29643
514345,513683
569313,568754
525347,557015
438104,436879
481125,483085
41405,29742
214955,90371
66625,65099
232349,226668
511766,513374
582890,576409
225284,225289
395455,396668
194024,195894
141385,143586
174824,185599
142780,145542
423326,424451
24301,26176
91570,107606
234836,236406
331239,331241
382381,381316
464741,466222
499452,499238
85446,85547
308576,301480
449865,449876
45718,41622
118027,76036
531860,534095
18446,18305
87426,90408
152271,152219
463986,464599
402108,402802
355021,240836
163540,162152
513649,518652
141626,136451
410219,395403
513296,479129
351373,351361
269498,269156
335326,295826
266263,270263
405531,394549
388028,387329
288731,9459
104880,68315
242628,242621
563470,563495
189187,189625
339808,341285
451897,448861
477482,482653
377846,376166
260230,236264
163802,160058
342890,336149
577036,577407
3734,18201
260450,225650
24969,25120
247505,246730
100519,101252
396582,402727
452643,453000
578217,578091
467577,470078
410403,408113
215628,215646
290095,364807
283702,291619
402704,402432
325913,325942
428709,428674
536368,536243
94714,93498
29589,32047
170637,170932
138472,138462
76878,77178
167429,167446
465865,466321
379484,374443
55328,59109
476425,365978
339287,315518
133831,131038
539390,535937
475255,475225
457513,466491
288522,288778
19003,16105
101273,98839
112265,112436
306002,306402
464241,461280
221654,221655
335680,259332
52670,53057
417468,401167
409417,409371
133052,159566
19101,51322
545555,502535
555772,554982
49659,57255
258877,256360
161440,160514
340980,327869
8785,8668
142261,144680
442471,442124
226459,226450
292448,111401
267747,267672
211831,211364
143446,142854
455562,455578
138131,30625
113004,109742
291297,292008
461729,461442
146795,148450
372108,374491
124568,122252
270093,267406
122640,107001
333572,332917
567627,567641
343746,129155
412042,411876
336961,337912
100537,101026
250635,250659
47743,51813
478840,480889
246093,239077
142616,122398
326506,351315
32771,32753
197497,197472
286683,285626
463622,461773
103416,238137
125000,124511
343457,343685
48522,48518
414596,414168
509743,505701
274507,273676
81320,89976
155508,80150
280926,309589
13233,12263
331,76804
321846,306092
406917,409893
421519,421506
527553,527566
539634,551707
545477,118193
457014,454604
438049,437790
459583,457608
151319,151101
281282,280362
325399,326205
508118,507605
402805,378647
403924,362238
39992,39906
113438,111673
445577,443774
143605,143614
268830,108225
498561,498746
102010,105093
284450,287832
562421,481719
440320,440548
136774,136989
375288,375124
409185,369720
548762,549472
88341,88400
228417,229404
528410,529065
438696,435507
405886,396671
178303,178273
277124,266117
22935,20291
346480,346613
486912,487444
142033,142146
66792,66769
368423,325511
521060,521286
320582,330791
116008,117881
155010,154532
509606,515737
267150,352971
