source_node,target_node
113939,114395
328468,327542
454522,454024
179899,176647
515145,514811
363214,362996
146973,147462
38581,43536
81086,82278
72874,80765
256654,261027
246973,244777
192787,197097
183186,197580
41412,41033
411180,412314
357054,358461
278515,278207
527394,527397
472544,472547
299376,299245
91051,90558
51142,50759
103101,103308
84432,84570
539170,538824
400135,401685
104569,104988
502398,500012
478834,471082
270849,271885
537268,537222
77668,77642
568765,572976
11053,10965
38751,36376
17408,17846
104324,106096
64499,61272
51347,51514
129514,129910
31573,32087
576749,576732
229151,232835
259796,258924
361904,362036
210457,210822
549275,544798
405396,405383
264112,267719
87870,87713
350156,340175
483853,481259
202026,201435
369315,369313
93044,93506
92789,92987
132610,129152
85382,85428
510617,510185
284411,285058
295569,295160
504248,502093
189374,196322
29681,29459
504162,504793
269241,273338
318688,318721
7563,7900
39906,41608
495888,497649
132740,132766
28844,28935
572759,573344
176906,173583
136727,134677
103390,102740
99612,100444
43150,42657
477605,477607
399305,398867
39741,44365
32792,34301
34109,38818
538246,538219
118360,119660
444556,443104
43150,43596
87076,85707
278815,278178
105657,105564
158400,161605
42746,42200
46039,51651
417472,417771
528642,527292
492168,492833
67346,67491
549113,548522
153749,151958
113995,113982
495180,499790
170766,168360
115926,115918
367581,369314
563470,563495
401429,401174
588710,589116
82278,81086
337142,340822
26129,26270
318780,318794
114498,115892
559201,554896
469404,469971
201991,212821
107574,107578
44485,44696
40716,41143
102398,103028
407805,409282
236147,236166
539825,538898
58321,57715
210353,210336
89195,89518
414665,416830
421043,421443
441028,441090
6803,9046
303190,229361
234087,231726
84780,85066
538621,538580
105809,105688
333599,333424
186895,186878
344057,344081
530029,533813
267741,286351
247753,243775
47674,48825
427810,427837
104602,104318
213052,212386
395497,395469
261707,261741
3043,8029
537296,537928
494844,494848
499364,499501
3731,2953
540024,536990
438098,439776
494522,485937
454664,468549
466477,466080
212877,211981
519965,527193
104348,105340
22923,21651
538074,455376
109003,108848
86462,84934
385850,395553
397323,398900
158736,158008
58436,58711
196871,192822
108540,108565
62245,62040
419384,419144
106339,108431
387080,387084
276769,273123
63834,67245
498513,498705
371356,372361
97068,96960
71868,71869
88813,88395
345052,342265
92176,92169
111127,110805
36058,36666
120651,120655
407864,408252
248315,248493
204230,206325
244665,244662
445604,472523
386103,386176
585139,583567
56579,54980
98337,98403
365955,364818
31655,30504
97180,92828
51211,51169
503511,511038
541921,543613
537902,538222
138450,138382
386859,386869
23202,22863
538746,515165
179033,179034
60778,63348
571644,568343
240105,248315
456446,458603
83521,84178
94437,94747
538140,537986
110220,111016
279745,283910
554442,554820
553089,554029
492551,491071
456800,461925
103446,105090
45787,45362
314774,314764
532364,534730
160445,160234
518742,522579
95190,93829
20035,19916
129730,132625
473186,474673
73213,73441
425237,424019
69491,69734
192766,193402
363978,364711
99630,99627
77375,77797
84299,84606
499455,499456
112391,112388
15380,16162
103246,102534
266493,269733
70392,71505
97206,97916
185963,185957
2568,3062
188473,187600
224574,224672
373970,374033
9634,879
20741,21596
145187,145260
6263,6262
90414,92350
533553,533561
446860,447046
134952,135025
115388,115408
280382,281073
163370,162977
305824,306451
520458,517140
242714,242692
381823,378245
272678,272769
328808,337142
113044,112902
478646,477022
41794,38616
523382,522156
588322,587991
9972,21761
53594,52157
103080,103130
20425,12634
434729,434815
234874,234877
588341,588391
529548,528734
91390,91073
189828,189702
522156,520544
342415,342353
40918,40234
536248,536781
381050,381654
492636,492551
85967,85865
46988,51827
6926,7090
444662,445250
213248,210932
9814,9817
45807,45666
539184,539175
78248,80663
588749,588751
199022,199017
179176,174052
8029,8056
224932,223709
167269,167245
300879,305701
235488,235463
89971,90170
59024,61272
546027,543716
77865,78050
530029,529922
539861,539925
354884,354659
242724,242709
2735,2854
7277,7266
396569,397045
102649,102115
70838,70897
331005,331760
247748,248558
33083,33860
14171,16118
103623,103260
65660,65520
114634,114655
121013,113986
82755,17480
14921,14337
83569,78531
444927,441868
26011,26025
170328,169049
278178,278815
63777,81129
340348,337226
373054,333833
509255,519375
97263,97324
302587,308480
175434,170766
415916,407521
574280,574179
327362,327356
310234,309433
314764,314774
115176,115180
219222,221207
583567,583335
269335,270615
200155,200144
176675,176577
94294,94012
536446,536445
357647,351597
495703,495511
172616,173450
463943,464258
115368,115508
531512,531428
239166,238951
412652,414814
45748,45704
90533,90700
517588,517599
175613,174807
66540,67514
103844,106372
111751,111975
111140,111821
101498,101161
