source_node,target_node
582729,583602
304999,302636
567602,567637
107485,102812
210737,210513
227866,227880
106301,101076
564578,566712
345121,348363
70591,75903
537436,535517
116817,111711
106328,112698
212321,212341
66194,63921
537268,536872
89260,92574
18537,17051
273083,274226
415091,415139
493651,494018
112137,114158
62891,64335
538609,536313
38527,41206
92425,95609
9841,10995
56504,59636
573536,574057
540375,539902
66379,64051
121808,120271
539405,540569
548831,549130
92081,98401
74336,72400
540524,540375
42682,38914
491374,491014
84422,89867
114827,114052
302726,301629
34545,34542
113560,114725
62366,64490
415001,415222
80090,83198
66605,65683
214683,213308
115668,111635
344181,346182
111864,110370
52809,55631
568334,569383
85751,84006
539269,540277
46805,50670
111334,115473
114720,116033
109526,104488
74701,70404
112894,115022
551749,549605
30886,29063
57285,59396
206578,203906
229746,232836
70206,68467
377574,379532
100897,98873
541952,540535
39967,38343
113465,110300
509702,512653
71186,75284
559582,559581
105152,103982
85424,84900
98212,100797
116566,115767
56178,59950
79246,78096
37188,40605
32297,28869
155047,153847
211512,211151
62522,64198
539947,539939
257081,255320
65701,65411
79857,85605
205935,205503
212352,212296
32887,29085
75252,80090
536313,533578
106591,105082
327924,327912
103586,109095
57483,58576
105980,106591
98873,100105
92641,94563
96475,97922
113155,114931
112656,114052
92046,94353
271881,272179
106467,110092
65801,67870
93446,90237
225284,225289
80652,76777
57185,61743
25311,26039
18241,17900
588884,589700
88700,94316
203906,202227
368648,368580
68779,65767
340320,340521
186232,184737
440432,440521
277308,277105
539787,540350
199610,197467
540162,539473
287080,287057
33387,32767
106105,107767
301893,298890
451383,451084
28231,28869
62637,64255
210316,211609
119064,122233
544536,542961
99707,102128
58305,57586
535662,537542
225492,225187
100320,96878
110645,105316
50544,48775
579975,581792
99790,104233
306386,306392
112205,108248
47074,43599
39266,37975
96417,92574
39451,36974
54739,58714
547858,550467
110645,112082
37517,34740
540185,540372
221654,221655
349895,352537
114281,116954
321510,319780
401475,401303
241102,241097
77947,82532
62785,63348
96630,99633
246410,244261
349700,349036
128874,127700
81961,78130
522374,522769
272132,274352
111914,111051
78127,78154
53883,56635
115293,113106
87133,89327
577804,575427
567627,567641
109222,113339
69349,73197
56674,54733
320806,324134
110961,112072
70237,66462
48522,48518
280244,280737
108719,105521
112550,115025
250498,250546
62731,65340
100993,102181
281850,282913
114724,110303
352486,352775
104577,104611
97683,98418
571811,574388
68458,67899
74220,70294
241693,240733
105880,106978
232789,233220
113151,112397
208870,210737
100922,103819
106015,105890
547371,545006
43628,42526
63649,61830
116234,116531
387080,387084
550792,549916
35167,35556
24858,25399
50140,48802
72355,71987
538706,537482
388133,388522
84819,83034
44439,41398
542465,545420
205503,205659
65322,62195
94522,100763
93311,88536
98130,98706
322765,328067
570383,568885
74063,75571
72576,76278
90787,95104
537891,538437
111856,105703
49587,46532
580935,582560
105931,109171
540092,541954
83603,81386
65518,65116
130869,131983
113426,112736
561213,559509
76122,75598
532819,533082
113426,116119
103624,107456
540545,539805
99440,100308
86519,91237
214436,217269
87448,85284
92287,96830
51585,52699
536449,538139
543305,545006
49943,54249
72225,74492
108125,103172
158541,158805
349088,350588
251553,254207
232789,234643
107764,110548
222232,220974
535266,533972
210592,210539
69351,67095
95869,94676
56650,60242
486072,487722
66172,69265
297211,298044
254542,256427
110645,111545
116694,113216
582161,580677
377559,379305
39517,38188
59354,54931
59543,62000
270746,272726
17664,20310
37928,36366
579381,580866
574121,573205
116461,112641
197463,199610
570450,568497
555874,555853
107754,112812
537545,538469
97541,103117
539789,540185
542461,539904
100089,101080
90967,88766
190267,192298
559672,559555
79884,84850
81438,78949
183007,184035
540026,542757
254232,254292
538247,537428
44415,43524
527541,530052
71867,71912
118626,121015
54193,56674
105089,103310
114927,111630
67601,65863
98174,92076
56925,54946
53377,57808
186232,189006
77161,71960
95496,92542
