dataset,constructed_graph_model,comparison_model,metric,paired_runs,mean_constructed_graph,mean_comparison_model,mean_difference_constructed_minus_comparison,wilcoxon_statistic,p_value,significant_at_alpha,better_mean_model,note
IEEE-CIS,GAT-address,MLP,pr_auc,10,0.20318365136596142,0.4248846279291471,-0.22170097656318571,0.0,0.001953125,True,MLP,
IEEE-CIS,GAT-address,MLP,f1_score,10,0.272707684928966,0.4406854152334905,-0.16797773030452445,0.0,0.001953125,True,MLP,
IEEE-CIS,GAT-address,MLP,roc_auc,10,0.81922030299708,0.8585758576617266,-0.039355554664646596,0.0,0.001953125,True,MLP,
IEEE-CIS,GAT-address,MLP,recall,10,0.30460912788070493,0.37094441934026207,-0.06633529145955716,3.0,0.009765625,True,MLP,
IEEE-CIS,GAT-address,MLP,precision,10,0.2498268682953863,0.5481626220877068,-0.2983357537923205,0.0,0.001953125,True,MLP,
IEEE-CIS,GAT-address,LSTM,pr_auc,10,0.20318365136596142,0.4150954593696519,-0.21191180800369053,0.0,0.001953125,True,LSTM,
IEEE-CIS,GAT-address,LSTM,f1_score,10,0.272707684928966,0.4309849836911643,-0.1582772987621983,0.0,0.001953125,True,LSTM,
IEEE-CIS,GAT-address,LSTM,roc_auc,10,0.81922030299708,0.8558044541097203,-0.036584151112640226,1.0,0.00390625,True,LSTM,
IEEE-CIS,GAT-address,LSTM,recall,10,0.30460912788070493,0.4005874378671487,-0.09597830998644374,0.0,0.001953125,True,LSTM,
IEEE-CIS,GAT-address,LSTM,precision,10,0.2498268682953863,0.46823530405155883,-0.2184084357561725,0.0,0.001953125,True,LSTM,
IEEE-CIS,GAT-address,Transformer,pr_auc,10,0.20318365136596142,0.4103675313300704,-0.20718387996410909,0.0,0.001953125,True,Transformer,
IEEE-CIS,GAT-address,Transformer,f1_score,10,0.272707684928966,0.44326723721623446,-0.1705595522872685,0.0,0.001953125,True,Transformer,
IEEE-CIS,GAT-address,Transformer,roc_auc,10,0.81922030299708,0.8485253420102673,-0.029305039013187272,5.0,0.01953125,True,Transformer,
IEEE-CIS,GAT-address,Transformer,recall,10,0.30460912788070493,0.4075915047446904,-0.10298237686398556,0.0,0.001953125,True,Transformer,
IEEE-CIS,GAT-address,Transformer,precision,10,0.2498268682953863,0.4911451602919805,-0.2413182919965941,0.0,0.001953125,True,Transformer,
IEEE-CIS,GAT-address,GCN-main,pr_auc,10,0.20318365136596142,0.2938947783427996,-0.09071112697683821,10.0,0.083984375,False,GCN-main,
IEEE-CIS,GAT-address,GCN-main,f1_score,10,0.272707684928966,0.34701817385712763,-0.0743104889281616,5.0,0.01953125,True,GCN-main,
IEEE-CIS,GAT-address,GCN-main,roc_auc,10,0.81922030299708,0.8430598050946102,-0.023839502097530198,17.0,0.322265625,False,GCN-main,
IEEE-CIS,GAT-address,GCN-main,recall,10,0.30460912788070493,0.36452779032986893,-0.05991866244916404,2.0,0.005859375,True,GCN-main,
IEEE-CIS,GAT-address,GCN-main,precision,10,0.2498268682953863,0.34546886558234646,-0.09564199728696018,7.0,0.037109375,True,GCN-main,
IEEE-CIS,GAT-address,GraphSAGE-main,pr_auc,10,0.20318365136596142,0.34317414723930734,-0.13999049587334594,0.0,0.001953125,True,GraphSAGE-main,
IEEE-CIS,GAT-address,GraphSAGE-main,f1_score,10,0.272707684928966,0.3788134066986656,-0.10610572176969957,0.0,0.001953125,True,GraphSAGE-main,
IEEE-CIS,GAT-address,GraphSAGE-main,roc_auc,10,0.81922030299708,0.8584549573133635,-0.03923465431628346,0.0,0.001953125,True,GraphSAGE-main,
IEEE-CIS,GAT-address,GraphSAGE-main,recall,10,0.30460912788070493,0.39724356077722545,-0.09263443289652057,0.0,0.001953125,True,GraphSAGE-main,
IEEE-CIS,GAT-address,GraphSAGE-main,precision,10,0.2498268682953863,0.36475221439551114,-0.11492534610012477,0.0,0.001953125,True,GraphSAGE-main,
IEEE-CIS,GAT-address,GAT-main,pr_auc,10,0.20318365136596142,0.247969206311674,-0.04478555494571258,18.0,0.375,False,GAT-main,
IEEE-CIS,GAT-address,GAT-main,f1_score,10,0.272707684928966,0.2963929771076235,-0.02368529217865752,12.0,0.130859375,False,GAT-main,
IEEE-CIS,GAT-address,GAT-main,roc_auc,10,0.81922030299708,0.8186530771302797,0.0005672258668004582,25.0,0.845703125,False,GAT-address,
IEEE-CIS,GAT-address,GAT-main,recall,10,0.30460912788070493,0.33059195661997287,-0.025982828739267973,14.0,0.193359375,False,GAT-main,
IEEE-CIS,GAT-address,GAT-main,precision,10,0.2498268682953863,0.27977409119785646,-0.029947222902470122,19.0,0.431640625,False,GAT-main,
IEEE-CIS,GAT-card,MLP,pr_auc,10,0.2176449356945381,0.4248846279291471,-0.207239692234609,0.0,0.001953125,True,MLP,
IEEE-CIS,GAT-card,MLP,f1_score,10,0.2744922915853248,0.4406854152334905,-0.16619312364816569,0.0,0.001953125,True,MLP,
IEEE-CIS,GAT-card,MLP,roc_auc,10,0.802653556329067,0.8585758576617266,-0.055922301332659644,0.0,0.001953125,True,MLP,
IEEE-CIS,GAT-card,MLP,recall,10,0.30962494351558967,0.37094441934026207,-0.06131947582467236,10.0,0.083984375,False,MLP,
IEEE-CIS,GAT-card,MLP,precision,10,0.27353802572213237,0.5481626220877068,-0.27462459636557446,0.0,0.001953125,True,MLP,
IEEE-CIS,GAT-card,LSTM,pr_auc,10,0.2176449356945381,0.4150954593696519,-0.1974505236751138,0.0,0.001953125,True,LSTM,
IEEE-CIS,GAT-card,LSTM,f1_score,10,0.2744922915853248,0.4309849836911643,-0.15649269210583952,0.0,0.001953125,True,LSTM,
