dataset,rank,model,ranking_metric,timestamp,recall,precision,f1_score,pr_auc,roc_auc,true_negative,false_positive,false_negative,true_positive
Elliptic,1,Transformer,f1_score,2026-08-30T13:24:29,0.37254901960784315,0.8994082840236687,0.5268630849220104,0.4887081991594215,0.8009849261654146,8416,17,256,152
Elliptic,2,LSTM,f1_score,2026-08-30T13:24:17,0.41421568627450983,0.7191489361702128,0.5256609642301711,0.5059698454284268,0.8433844455605082,8367,66,239,169
Elliptic,3,MLP,f1_score,2026-08-30T13:24:01,0.4166666666666667,0.3490759753593429,0.37988826815642457,0.4242455575533026,0.7626299749118194,8116,317,238,170
Elliptic,4,GraphSAGE-sampled_complement,f1_score,2026-06-28T13:02:42,0.35784313725490197,0.38421052631578945,0.37055837563451777,0.24827899570375117,0.7581437768988776,8199,234,262,146
Elliptic,5,GAT,f1_score,2026-08-30T13:24:40,0.34558823529411764,0.37105263157894736,0.35786802030456855,0.28934854624693335,0.816581915583736,8194,239,267,141
Elliptic,6,GraphSAGE,f1_score,2026-08-30T13:24:35,0.3382352941176471,0.2942430703624733,0.314709236031927,0.3485067674840219,0.7735347014413496,8102,331,270,138
Elliptic,7,GCN,f1_score,2026-08-30T13:24:32,0.5759803921568627,0.1390532544378698,0.22402287893231648,0.17513477370259728,0.7841253897503505,6978,1455,173,235
Elliptic,8,GAT-sampled_complement,f1_score,2026-06-28T12:57:18,0.4877450980392157,0.08522483940042827,0.14509660955158585,0.0828183555279434,0.6628284540425917,6297,2136,209,199
Elliptic,9,GCN-sampled_complement,f1_score,2026-06-28T13:01:50,0.3382352941176471,0.08635794743429287,0.13758723828514458,0.08270427349206468,0.6742928109225429,6973,1460,270,138
IEEE-CIS,1,LSTM,f1_score,2026-08-30T12:58:12,0.39719837324898327,0.5072129255626082,0.4455144450076026,0.4287422305791964,0.8562067122284721,55987,854,1334,879
IEEE-CIS,2,Transformer,f1_score,2026-08-30T13:14:06,0.41798463624039767,0.46954314720812185,0.4422663160411188,0.39745320872888346,0.8389365041573186,55796,1045,1288,925
IEEE-CIS,3,MLP,f1_score,2026-08-30T12:55:42,0.3438770899231812,0.49608865710560623,0.40619161996263675,0.32983129912169473,0.8616065825018445,56068,773,1452,761
IEEE-CIS,4,GraphSAGE,f1_score,2026-08-30T13:15:04,0.3755083596927248,0.39760765550239235,0.38624215663490585,0.34508785171499173,0.855056783800235,55582,1259,1382,831
IEEE-CIS,5,GAT,f1_score,2026-08-30T13:15:31,0.4247627654767284,0.19469759734879868,0.2670075273398665,0.1391107736815442,0.8181562830232719,52953,3888,1273,940
IEEE-CIS,6,GraphSAGE-sampled_complement,f1_score,2026-06-28T15:31:40,0.315860822413014,0.22120253164556963,0.2601898380792853,0.14238307067499092,0.7999120957451866,54380,2461,1514,699
IEEE-CIS,7,GCN,f1_score,2026-08-30T13:14:27,0.36782647989154993,0.1729339281920544,0.2352601156069364,0.123174589720551,0.8004283565576368,52948,3893,1399,814
IEEE-CIS,8,GCN-sampled_complement,f1_score,2026-06-28T13:52:42,0.3691821057388161,0.13380281690140844,0.19641783868253396,0.10269941792131579,0.7096845838026405,51552,5289,1396,817
IEEE-CIS,9,GAT-sampled_complement,f1_score,2026-06-28T14:11:13,0.9986443741527339,0.037459531840602064,0.07221042313347492,0.04073265558718076,0.5054607698106959,54,56787,3,2210
