dataset,rank,model,ranking_metric,timestamp,recall,precision,f1_score,pr_auc,roc_auc,true_negative,false_positive,false_negative,true_positive
Elliptic,1,GCN,recall,2026-06-06T13:15:59,0.46568627450980393,0.16979445933869527,0.24885396201702684,0.2938805744896956,0.772539690013323,7504,929,218,190
Elliptic,2,MLP,recall,2026-06-06T13:15:24,0.45098039215686275,0.3333333333333333,0.38333333333333336,0.40689586482403345,0.7678613779200758,8065,368,224,184
Elliptic,3,Transformer,recall,2026-06-06T13:15:56,0.4362745098039216,0.7946428571428571,0.5632911392405063,0.5490022308359195,0.8538739688657989,8378,46,230,178
Elliptic,4,GraphSAGE,recall,2026-06-06T13:16:04,0.4362745098039216,0.43309002433090027,0.4346764346764347,0.4177383363871038,0.7882757514247248,8200,233,230,178
Elliptic,5,LSTM,recall,2026-06-06T13:15:36,0.4215686274509804,0.688,0.5227963525835866,0.5197127045469463,0.8641451594882968,8346,78,236,172
Elliptic,6,GAT,recall,2026-06-06T13:16:09,0.39950980392156865,0.3286290322580645,0.3606194690265487,0.32473135160457806,0.8181916339404254,8100,333,245,163
IEEE-CIS,1,Transformer,recall,2026-06-06T13:34:18,0.982828739267962,0.037901230265221485,0.07298780180875518,0.1258869179557863,0.706339427288789,1621,55211,38,2175
IEEE-CIS,2,LSTM,recall,2026-06-06T13:32:14,0.38816086760054225,0.4761640798226164,0.4276823500124471,0.40285591470645316,0.8450095212488244,55887,945,1354,859
IEEE-CIS,3,GraphSAGE,recall,2026-06-06T13:35:09,0.359240849525531,0.2510262077676034,0.2955390334572491,0.22587376926793484,0.79939914602957,54469,2372,1418,795
IEEE-CIS,4,MLP,recall,2026-06-06T13:29:11,0.3384545865341166,0.5874509803921568,0.4294724770642202,0.4267505606952522,0.8536611664220629,56315,526,1464,749
IEEE-CIS,5,GCN,recall,2026-06-06T13:34:37,0.3271577044735653,0.198410523431077,0.24701467076083247,0.12000952760078264,0.7834251469083582,53916,2925,1489,724
IEEE-CIS,6,GAT,recall,2026-06-06T13:35:27,0.23271577044735653,0.1585591133004926,0.1886101446621498,0.10079562072712031,0.7556907996178017,54108,2733,1698,515
